symbol,setup,mechanic,overlay_id,iv_mult,n,wr,avg,med,p10,p05,worst,premium_cap_usd,modeled_only
TQQQ,L1,fixed_24,TQQQ_ATM_CALL_2DTE,1.0,26,0.5769230769230769,0.1474641873829975,0.0421044333183731,-0.1481012920247614,-0.3100772730463568,-0.519594906573003,100,True
TQQQ,L1,fixed_24,TQQQ_ATM_CALL_2DTE,1.25,26,0.5384615384615384,0.09146056536627441,0.024133152731592333,-0.13125259846288828,-0.2686869498165101,-0.4457100555189103,100,True
TQQQ,L1,fixed_24,TQQQ_ATM_CALL_2DTE,1.5,26,0.5384615384615384,0.055998897929855455,0.013932199426351155,-0.12357395261319631,-0.23997035080306164,-0.3921046966356726,100,True
TQQQ,L1,fixed_eod,TQQQ_ATM_CALL_2DTE,1.0,26,0.6538461538461539,0.2848546080986399,0.10670874810786557,-0.13463856832535243,-0.1764807425311658,-0.21109002860167048,100,True
TQQQ,L1,fixed_eod,TQQQ_ATM_CALL_2DTE,1.25,26,0.6153846153846154,0.17388626263280044,0.047091160855647685,-0.12413021356010523,-0.18345899299805174,-0.2103855109624333,100,True
TQQQ,L1,fixed_eod,TQQQ_ATM_CALL_2DTE,1.5,26,0.5769230769230769,0.10320555776099678,0.0184631548997799,-0.1170500835113335,-0.1749964111010018,-0.2270281334812818,100,True
TQQQ,L2,fixed_24,TQQQ_ATM_CALL_2DTE,1.0,23,0.6086956521739131,0.12679051494971805,0.02212773353031383,-0.1672922465949545,-0.33655517515239947,-0.519594906573003,100,True
TQQQ,L2,fixed_24,TQQQ_ATM_CALL_2DTE,1.25,23,0.5652173913043478,0.07670043297854386,0.007525306781867913,-0.15031341960128974,-0.29015866857213635,-0.4457100555189103,100,True
TQQQ,L2,fixed_24,TQQQ_ATM_CALL_2DTE,1.5,23,0.4782608695652174,0.04512619430656053,-0.00535974637504999,-0.13885219478298202,-0.25790689336526973,-0.3921046966356726,100,True
TQQQ,L2,fixed_eod,TQQQ_ATM_CALL_2DTE,1.0,23,0.6956521739130435,0.25553434523257673,0.0633068517193851,-0.1324198629296547,-0.14909581189904494,-0.18505355166911253,100,True
TQQQ,L2,fixed_eod,TQQQ_ATM_CALL_2DTE,1.25,23,0.6521739130434783,0.15403881898254798,0.017825063647284534,-0.12583483340472013,-0.145448239938798,-0.2103855109624333,100,True
TQQQ,L2,fixed_eod,TQQQ_ATM_CALL_2DTE,1.5,23,0.5652173913043478,0.08932839341423886,0.0035137356370047446,-0.12139892470266161,-0.14300457543844486,-0.2270281334812818,100,True
TQQQ,L3,fixed_24,TQQQ_ATM_CALL_2DTE,1.0,14,0.9285714285714286,0.2408353062044652,0.16555813159084953,0.043149368229855864,-0.15939882027621455,-0.519594906573003,100,True
TQQQ,L3,fixed_24,TQQQ_ATM_CALL_2DTE,1.25,14,0.9285714285714286,0.16039007710028846,0.10598259536948795,0.013149482115590973,-0.15253691243594783,-0.4457100555189103,100,True
TQQQ,L3,fixed_24,TQQQ_ATM_CALL_2DTE,1.5,14,0.8571428571428571,0.10930161598883466,0.06723280645101648,-0.007478749081214619,-0.14627191152622715,-0.3921046966356726,100,True
TQQQ,L3,fixed_eod,TQQQ_ATM_CALL_2DTE,1.0,14,0.8571428571428571,0.39758748120481874,0.2935613784661125,-0.0022868469052360896,-0.08450011725672399,-0.18505355166911253,100,True
TQQQ,L3,fixed_eod,TQQQ_ATM_CALL_2DTE,1.25,14,0.8571428571428571,0.25249320826684213,0.16179324352160362,-0.020414608768979676,-0.10502353112662408,-0.2103855109624333,100,True
TQQQ,L3,fixed_eod,TQQQ_ATM_CALL_2DTE,1.5,14,0.8571428571428571,0.1604195331414,0.09411329299693671,-0.0383020350477114,-0.1185448075185532,-0.2270281334812818,100,True
